k,stability_equal,stability,stability_min,silhouette,calinski_harabasz,davies_bouldin,eta2_burnout,eta2_productivity,min_share_%
2,0.6913,0.8726,0.7512,0.2192,6385.6556,1.6573,0.0978,0.0409,46.5603
3,0.3967,0.5393,0.2658,0.2007,5860.6041,1.4743,0.0923,0.2689,31.78
4,0.4678,0.8905,0.7327,0.1741,5230.0264,1.5818,0.1039,0.3709,23.3477
5,0.4116,0.8852,0.7866,0.1693,4643.3647,1.4739,0.1199,0.378,18.281
6,0.3501,0.9162,0.8645,0.1679,4312.3624,1.3881,0.1338,0.3726,16.4713
7,0.2559,0.8456,0.6918,0.1682,4093.7718,1.3575,0.1405,0.4076,13.1553
8,0.2511,0.6088,0.3715,0.1718,3928.8693,1.2945,0.1567,0.3967,11.8687
